"","y","mean","fD","H","ac3","ac8","ac15","Delta","Theta","Alpha","Beta","Gamma","variance"
"14",4,-11.4831460674157,1.82597060022495,0.531825741073988,0.463000003880033,-0.624826755002059,0.303425475204145,7.78935142318543,212.993052484714,4796.84292175406,41354.0899087446,5142.5102847959,4745.21157874691
"15",2,-24.9494382022472,1.1926450779424,0.824697015659828,0.843093445959161,0.329234287387934,-0.249142674876755,2.75011115694265,24.7832379957238,250.124983750561,1939.31528631872,17407.3620484895,1158.73754205548
"16",3,-12.376404494382,1.32192809488736,0.917429883714636,0.877297772388542,0.431723337445247,0.23616423451825,2.7172771046118,24.7488104641769,255.61275593498,8003.39050319552,8689.88583058339,2853.75017456992
"17",2,30.7584269662921,1.27301849440642,0.924540110572225,0.891950743518852,0.512281166168277,0.0847360217599158,1.80787943804661,14.7636535424227,74.5585090171044,828.744388479243,6972.37116034994,696.150352313845
"18",3,-1.59550561797753,1.34395440121736,0.750852670354386,0.778232471783132,0.00895177539510225,-0.466196425215847,3.63296691890452,15.9809568275712,253.526601282646,3865.1093587295,19996.2924975306,1239.65466895195
"19",4,6.93258426966292,1.66296501272243,0.709885281580355,0.360871208341435,-0.0873455683669259,0.0801282456090361,6.83231115405664,88.5208716923166,4611.56286771083,4977.16664932986,4105.21405618614,1216.60559893354
"20",2,-18.8426966292135,1.22239242133645,0.877257038867189,0.855096603400046,0.388458251362987,-0.0153768179962925,3.47146389745386,20.7561455398067,1653.69930712289,12724.1370498023,56339.9704035294,6375.91861867581
"21",1,24.6348314606742,1.64385618977472,0.55809853062098,0.700918197192108,-0.139282243102582,-0.543916112938536,20.2806634942865,4298.93832649274,223650.136535926,858492.37689438,6026548.86980729,313801.860248841
"22",2,-20.8539325842697,1.66985139830767,0.827344908837865,0.672207065623497,0.023342979664733,0.00955243276597145,13.0126317080615,100.1608834449,814.375632930629,5177.96616306615,6284.06787910775,1217.5604646734
"23",1,-67.4606741573034,1.34792330342031,0.674136256905482,0.741019107814023,0.0461321532927349,-0.332366804876716,8.74375632271768,1330.0994917216,4195.05829611948,44024.3832178452,164649.529508123,19448.2272583
"24",1,10.314606741573,1.38702312310925,0.7933948874879,0.756237943483035,0.186811668108483,-0.252990311428606,5.45938612069529,848.525231353175,10825.0640138816,44938.3696934371,256739.786384791,18965.7422713134
"25",1,45.7584269662921,1.51457317282976,0.578361543384886,0.30837620642533,-0.297401508805277,0.000981708303706312,140.767497269359,42648.918185805,499068.450827921,1046830.0798596,953029.779778211,189972.7266235
"26",3,23.8258426966292,1.32192809488736,0.906910552844037,0.845512917434071,0.501454901839162,0.117645988138396,4.97766222209778,21.5323211306535,137.115484703606,629.526572505324,1337.90031107295,419.082492223703
"27",5,-50.252808988764,1.38702312310925,0.914580572246575,0.684585812862958,0.435712911649027,0.323732236216094,8.48832751313639,104.89640690513,585.185063270907,931.322226717372,3159.02340103304,569.737986415286
"28",1,-51.5955056179775,1.61470984411521,0.586603526153511,0.648687503457985,-0.275721222294183,-0.535107635193578,8.09304897289346,1284.99822730545,20785.6716557216,180953.050038978,833390.276418677,51747.4625785565
"29",2,-16.5955056179775,1.10691520391651,0.892799254118885,0.767850126979413,0.377647907689678,0.0919360905023773,20.8389555637335,332.231291326275,1707.64365729057,7809.07534558663,21561.3617586061,4041.29308703104
"30",2,-15.6910112359551,1.43295940727611,0.986903106989838,0.83507062546843,0.602965042961352,0.420956391606342,12.0011107878307,82.5021391775267,652.327897256829,2038.68455982453,6293.44785740027,1504.35031422586
"31",1,-4.46067415730337,1.26303440583379,0.858842792462368,0.756560871306077,0.223451585841661,0.232121898243669,15.8531087435826,537.127748586192,19809.397298766,108953.556897866,222575.172501229,30981.6509871136
"32",2,-46.2078651685393,1.5405683813627,0.876102543922637,0.821172534240288,0.246824922788327,-0.0770847780673745,3.99667105097371,19.1478316328303,116.867576295981,1690.64023840945,8423.08220908659,744.900050783978
"33",4,2.74719101123596,1.49476469174958,0.761150264799426,0.546147567504944,-0.186997320407452,0.323714232362349,5.49593246534516,147.34475581051,1603.41118451613,7619.03714521851,6094.74630752273,1449.12781692376
"34",5,-12.8876404494382,1.46948528330122,0.747677195273605,0.53190278038445,-0.079746345600535,0.31529599023163,14.5389084269472,271.513865445709,2434.33620943901,9358.39152046533,6568.15151875909,1980.68786897734
"35",5,7.54494382022472,1.20645087746743,0.917030384015079,0.801149680741658,0.595648282472035,0.35684154818833,7.89494910269402,205.444217704518,472.401561860509,1434.76143799719,4945.1608966722,1232.98384434711
"36",3,33.2808988764045,1.62803122261304,0.914379814149335,0.802610567865237,0.582185708379908,0.361406727342981,128.16450801691,1105.77911776607,7040.21953106803,17554.793291744,25027.9304409958,10935.0053957976
"37",4,14.2303370786517,1.73696559416621,0.817023979257211,0.402272301366527,0.178981342966228,0.209104569609254,61.92815588254,483.55270697524,3711.42221007714,3824.34768171768,6969.66179002991,1619.42122135466
"38",3,-4.3876404494382,1.28950661719498,0.875360094307548,0.905453067752379,0.562758406543213,-0.0783664846686793,7.01340670659257,41.2374306051592,192.76716975177,1688.03492104867,9909.1071568734,1775.91103281915
"39",5,7.03370786516854,1.55254102302878,0.779885851132018,0.593557139641274,-0.0819280334686321,0.183269765203801,5.82162619656415,229.919491690271,980.588397815457,7465.63471622658,11793.4954141046,1770.11185171079
"40",3,0.140449438202247,1.68805599368526,0.946174411104321,0.897250726614878,0.582791782465812,0.245932740762059,2.69631653925651,48.7342224860943,184.08157399407,2538.78733927659,18294.0673163128,2094.18920205675
"41",5,0.578651685393258,1.62449086490779,0.829474876242154,0.51251111621942,0.096905124358103,0.385429603239892,8.53556431106494,281.310053359265,764.176432445908,5458.26356039662,4520.36296313322,1614.82146257856
"42",2,11.1966292134831,1.49476469174958,0.920636389848613,0.817722635007804,0.45814017223418,0.446576457455728,3.29876090577967,28.3873262992119,198.358188280089,1266.54821469782,2528.62772034777,633.300101567955
"43",1,-4,1.4594316186373,0.456944587852154,-0.100623451623052,0.0329925347348328,-0.262630159894349,287.134874406699,74017.0925661401,1913106.17107139,991848.155125939,487200.896681255,286050.870056497
"44",4,-20.1348314606742,1.84130225398094,0.650439011015165,0.359032285950449,-0.644455849135691,0.725152657747265,7.84465752545058,935.022808386499,3872.76290647273,47225.3374823335,5552.54501921427,6683.73313019742
"45",3,-27.5786516853933,1.43295940727611,0.858694406885135,0.794991125285046,0.409238105549268,0.119928075320706,5.57660130911732,22.974966137498,168.632740994173,645.928522532702,3558.51128225521,491.940106646353
"46",2,36.5842696629214,1.65711228647699,0.723115034101641,0.665879534846513,-0.224547248064605,-0.0117704042787973,19.5349683371527,193.978927187056,1145.47718401672,15263.9945933157,9300.22936387761,2731.19342347489
"47",4,4.80337078651685,1.4594316186373,0.723745631144648,0.498431215877595,-0.374294470657406,0.438173773875146,7.12880684907496,193.304484285382,2297.32313704695,17948.6403217588,1723.01460110903,2463.22100552276
"48",2,-7.38202247191011,1.32192809488736,0.943382989674155,0.810484103797971,0.385319428922624,0.221811985135493,3.0484620278652,35.6353747162902,194.099418912835,1256.41571264537,1725.41417586457,536.260013965594
"49",5,-5.80337078651685,1.51457317282976,0.720841857760293,0.487147927705209,-0.193402750941671,0.356350949392373,21.2575515716493,336.448338893038,1969.88029357758,11466.4582278555,6766.71113297964,1959.1193106075
"50",3,-7.21348314606742,1.5405683813627,0.779358186434432,0.68629511290341,0.208288392889054,-0.00238752263822664,10.3383471344118,192.125007600669,2574.36358584701,7283.49790000052,9293.8815241107,2854.34964768616
"51",5,-16.1741573033708,1.49476469174958,0.918719771996712,0.564428137099337,0.449958945693909,0.406672566893002,8.28687167059694,175.126720519781,1594.59833800585,2377.92238366537,558.54069159812,934.528819907319
"52",3,-8.32022471910112,1.58496250072116,0.933142793904052,0.79750090960908,0.524901452836776,0.326924248787819,75.187190729499,675.261960513344,4113.26247937039,13745.6891037649,11675.523400133,6993.39405192662
"53",1,113.488764044944,1.28010791919274,0.804728887399305,0.44109000297235,0.0236834462315299,0.13464880677064,297.631706011327,32818.0407855497,663964.266812649,831892.685592732,903362.917046633,200322.65806513
"54",3,-36.3258426966292,1.47393118833241,1.00860006117516,0.968287244798828,0.851280720663696,0.730586810238445,2.95537329029853,17.5368215636256,80.9331527813694,2761.29666823659,17834.9078042442,5492.0627182124
"55",3,13.6067415730337,1.47393118833241,0.843842785614456,0.812968590913068,0.357444911108279,-0.0518424650855596,5.1203282103378,83.2737157264166,721.470850944289,3395.68370583608,19414.1781343947,2115.29080175205
"56",5,40.3820224719101,1.62449086490779,0.956570963921108,0.658969983395546,0.398418791353743,0.461658456901884,10.1715220333932,941.2526571755,2554.32282733874,6031.18628851923,14034.4562962047,3398.81368628198
"57",3,-10.2584269662921,1.58496250072116,0.837086723920702,0.568775004340836,0.129193410226553,0.198431135717038,16.3768871669083,370.957796157764,1974.28620008341,7722.50995156692,5123.70314267772,2202.67860090142
"58",5,10.7134831460674,1.51457317282976,0.797903338478451,0.642019683416963,-0.0762688441779642,-0.0676679143067214,6.16449438900328,57.098513390823,262.151927752531,3052.69358360942,2310.79512842199,626.352472544912
"59",1,-27.5505617977528,1.72246602447109,0.816465973462231,0.551645125644364,0.234905140692722,0.0442109753109684,12.6968866251372,3960.91471743589,31790.8542076204,45994.7944023909,124268.051844389,17739.627372564
"60",3,-7.64606741573034,1.39231742277876,0.899740212101425,0.741979918199094,0.263479600498125,0.133694715272502,4.71811616730509,40.2883742093841,527.80616161996,1949.97814730823,1929.12946673152,705.438995746842
"61",3,-40.9662921348315,1.54748779530249,0.842816275820546,0.891040238387676,0.480107334344071,0.0253220817383613,5.01353569309086,15.6109961500509,289.782041113268,1670.05780699316,13947.5036316553,1680.60902685203
"62",3,18.623595505618,1.4594316186373,0.965423033326753,0.942393616730321,0.774296106932491,0.609914140560488,1.7505849673378,24.6974592333666,125.274363419617,855.449136601111,4252.63596208125,1738.11175649083
"63",4,-57.4101123595506,1.69187770463767,0.660129935007212,0.329381096990304,-0.251542246558908,-0.0287656688309157,45.4881740543402,339.317197949058,11479.6957498917,19706.5074018664,21632.9478743224,3413.09074462007
"64",5,-1.46067415730337,1.44057259138598,0.760321215899315,0.541728619302797,0.0487543325691484,-0.0620721060187668,8.54177906715519,104.715526069712,890.994157941794,3023.83250261794,2102.83593990494,647.458896718085
"65",5,-72.2921348314607,1.68449817427207,0.796722046919415,0.346880536837189,0.178084739523731,0.157597862536174,14.5068177118248,313.124681184775,539.051849155019,1491.44129446104,2803.28909946217,541.202310670983
"66",1,-19.9606741573034,1.34103691783507,0.566693707572703,0.686942907590019,-0.279958499881111,-0.549403243494367,4.9041927391002,309.243918898934,8707.27036512156,70486.6219655946,493689.650368552,24833.7103091475
"67",4,-4.44943820224719,1.69187770463767,0.786554908271905,0.497588141381151,-0.159763543837511,0.383397766789731,6.8021276005336,833.776863174647,739.140359079507,14862.4851305268,13994.1864306301,2872.30533866565
"68",2,-53.0393258426966,1.39854937649027,0.993523695922627,0.926189523978419,0.804918662130033,0.673918142070198,20.8803633659446,185.553186275368,3170.07650489478,5363.74102494552,16411.6568655439,10167.1792357011
"69",1,9.97191011235955,1.22239242133645,0.97332472083361,0.743198727416531,0.622258191116101,0.494140623864133,43.4679376619655,5017.12538144728,69928.4788641428,80359.4076578675,163337.402583474,68280.0387545229
"70",3,-17.4606741573034,1.39231742277876,0.917173819590213,0.957005252076386,0.729107430029841,0.202756911535638,2.59301709857397,14.885143165729,146.1869343681,3175.18484798344,51963.2067176277,7816.12556338475
"71",4,-50.747191011236,1.65207669657969,0.635216698669498,0.48480199694801,-0.643614341287974,0.313293907044808,6.69010087315035,270.807249008617,4363.44483705657,56417.9459766564,3703.11522459516,6769.8622802006
"72",3,-71.1404494382023,1.54432051622381,0.776676809480997,0.586632377577864,0.212515683748381,0.211194645777502,48.5259561252101,429.489376023756,8598.98947936919,11921.748906304,5084.44687429551,3582.94626420364
"73",4,2.97191011235955,1.70043971814109,0.70069595847786,0.117198613310611,0.183402813999112,-0.245459099663182,113.976931476303,273.944582864236,16939.9169693029,7059.57811450777,1761.09672542359,2788.26474322351
"74",4,-6.25842696629214,1.54748779530249,0.831661998171886,0.545077363161393,-0.137257730676914,0.443701476141932,7.71184030435607,706.171062909742,3299.79187575696,21354.8872466348,5111.88766514051,5217.26617152288
"75",3,23.685393258427,1.48542682717024,0.783291935732547,0.593959497822463,-0.0805593443397912,-0.0479039214769155,6.2981285576567,64.5392831328977,465.806702551584,2616.74702168928,2302.52415702573,468.103853234305
"76",3,-4.84269662921348,1.4594316186373,0.950855539682262,0.912971381782349,0.551347264087623,0.124682669493211,2.71229135737586,17.3678562440762,176.027124031864,2670.75194830523,24372.9457197505,3201.16155652892
"77",4,-14.6348314606742,1.86507041991389,0.485814959079255,0.39406033321901,-0.725738011024231,0.600210001315194,8.13586830939284,648.298318963778,8751.81607092799,113174.514011129,48813.4266591695,14676.6173109884
"78",4,7.0561797752809,1.70043971814109,0.657490857272545,0.0479716979968092,-0.0568857038856975,-0.270200959070011,52.5127021744271,458.430743952271,12631.9662818885,5897.06655704443,4934.57636155851,2324.2793118771
"79",4,-49.3258426966292,1.63226821549951,0.570765219678104,0.333814632152503,-0.684902964798387,0.710259810187652,7.23672277187201,564.788870699366,3449.27826616013,23551.4939104453,3849.09767587059,4064.15311369263
"80",4,-1.5561797752809,1.58496250072116,0.8428949392519,0.544918857138733,0.0717677460088378,0.227246072683652,7.20355571532949,161.267658146703,1484.17859946781,3512.67772626434,4351.5148789526,1029.33298419349
"81",4,-54.9213483146067,1.76553474636298,0.723726035730363,0.420468001541104,-0.211821230948768,0.243575448203693,56.130028451673,614.570959429597,7214.01058344002,26233.6240324348,19745.3447599564,4643.72259252206
"82",1,-49.7415730337079,1.55019708256048,0.732167601932939,0.691379102340316,-0.163303807200038,-0.475379875011295,5.44138211439254,1597.06391297591,17087.5009571662,73923.2574388923,362309.301446284,27280.3283184155
"83",1,6.03370786516854,1.5405683813627,0.533958918010482,0.466976330379175,-0.172269238880224,-0.38462373771048,184.051041810339,25944.801765045,309158.43614382,807599.990386902,1516010.26874354,168860.925411033
"84",2,-24.1067415730337,1.34103691783507,0.754916221486847,0.803207979148479,0.263509717768357,-0.300496442188062,2.16046400412332,12.2659988643512,110.407441374069,574.464159487266,3753.92837258987,319.598711356567
"85",2,64.4662921348315,1.3536369546147,0.936221625427839,0.701801392019014,0.454386024060018,0.442938585657116,103.607125605017,2578.77196470794,40817.557369126,70689.6082315637,74152.4367400737,29799.086427982
"86",5,25.3707865168539,1.66296501272243,0.908583775817749,0.708698733290852,0.331480076942653,0.395668785525012,27.8848377127556,342.817995423321,1781.85227246882,8601.36972904052,10339.6758040453,3164.81089316321
"87",1,-40.0955056179775,1.50250034052918,0.730969662072827,0.545510596967987,0.135786031870444,-0.023922802762281,14.1995688187285,2062.05378712268,91584.7694992891,101772.286852384,98728.4019465391,33535.9286802514
"88",4,51.5112359550562,1.46948528330122,0.95376882697492,0.752233347373908,0.520209132710773,0.473529713008309,6.10366777166333,318.011130903627,923.735409777775,2696.40601280913,9118.11034889285,1779.55072049768
"89",3,-34.0224719101124,1.29956028185891,0.775574725252325,0.876891476775938,0.49520175192919,-0.113335770943242,7.60116714036591,63.2920829698206,381.170546614622,1362.13087710159,15004.7365408042,1520.68875769695
"90",4,-54.4606741573034,1.8073549220576,0.477305985746661,0.434868717124954,-0.807998023724875,0.591121094111251,4.53908345771009,168.25939024868,2351.56260844713,42339.0771636606,2117.79680787705,4527.02951818701
"91",2,-4.37078651685393,1.34395440121736,0.877077749621949,0.749990679057768,0.24731368894396,0.24210156528684,4.56393788739503,34.0212235667708,448.017175255245,2815.96750108498,243.775562752898,922.641401637783
"92",4,-43.0955056179775,1.78849589480629,0.48002630875409,0.38560361245634,-0.781478463132642,0.570974440928266,5.02031103267568,262.897800279073,4503.64601910329,51545.9490816767,5203.52357730042,5425.69139211579
"93",3,-18.6966292134831,1.18442457113743,0.88906240563628,0.904499357340909,0.669554983628248,0.297610777043662,34.4533464734011,333.414734597859,945.025490703208,4044.22622434591,17317.9124610564,6961.20688122897
"94",5,-8.81460674157303,1.58496250072116,0.647381885486307,0.285065242907539,-0.228084578664104,0.41759889582248,15.9483433184114,635.581282959747,1923.9817544611,6937.48114418539,2479.4391942862,1318.00498317781
"95",2,24.5056179775281,1.44057259138598,0.78664966314795,0.766116244995242,0.210512825834319,-0.202334841652714,3.17203468664427,30.1558352814729,341.633446416532,1159.98265142823,8651.44710237335,583.200533231765
"96",3,-8.35955056179775,1.26303440583379,0.78469385370881,0.747250300210783,0.0986490512731308,-0.153960786328126,6.47232595180142,46.8075320697266,255.645107929705,3758.45185916264,7253.58719415331,1171.65530375167
"97",4,-41.6011235955056,1.65711228647699,0.685125769462852,0.504288316557267,-0.208237070143479,0.357587667108088,55.0484021142761,525.485497167405,10686.9290519064,41575.9468815803,11739.7869173238,8290.52361454961
"98",3,-33.9662921348315,1.44745897697122,0.902501049129005,0.688038370690109,0.277730034743702,0.229538832191646,14.7650722889184,160.071915056677,2811.85144407878,7665.31656773177,6248.62693640563,2655.53558052434
"99",5,8.63483146067416,1.58496250072116,0.845024823939348,0.529778423324675,-0.0872138936321922,0.366410295768571,8.37893954489098,270.080231393417,2729.28452576056,10032.0280047029,2060.54688374631,1987.40827144036
"100",4,-10.5224719101124,1.62148837674627,0.620663251545592,0.413288939295759,-0.585398105887202,0.470740659737586,7.38799113700224,364.650847403453,2550.20687310408,25535.2432899748,3349.01738119165,2934.18310797943
"101",1,-25.2640449438202,1.85798099512757,0.466730401640501,0.623201328946076,-0.408989016384177,-0.598849076213302,33.1934379052604,4747.70087493317,56835.8991730692,2447384.65325583,495509.936004879,267040.41011236
"102",4,49.1966292134831,1.58496250072116,0.838074833818298,0.501148458897055,0.172751911296313,0.179055162363374,8.24938079386685,321.85824371371,1905.01355192473,2544.51698350788,4458.73899571469,1176.92722021202
"103",4,8.19662921348315,1.58496250072116,0.576954088582755,0.269672759918898,-0.141282232175922,0.0330208939038622,24.3072694759675,517.834818299934,13653.4788760891,23045.7942399419,18541.0733442423,4205.40179648321
"104",2,-51.2752808988764,1,0.964289229334641,0.927796589557566,0.727576254828076,0.586859035291611,5.24993708030672,186.137224885653,4397.34411310371,29653.2833762405,64251.070587904,30622.7881990732
"105",5,11.7247191011236,1.50250034052918,0.922484420643776,0.674946815288123,0.308171264886629,0.394235364821593,12.8273799087366,434.819677193481,741.318022391375,6792.93538073895,4615.35935412154,1903.50006347997
"106",1,20.8876404494382,1.48542682717024,1.01586056907711,0.797419529117292,0.694767329670801,0.682330653408658,23.746910472162,5160.31894317439,45563.212855675,73150.9534597808,39593.3364168762,57323.4675299943
"107",3,-65.0955056179775,1.32192809488736,0.89144322581824,0.761313655185093,0.354998829191238,0.0970288028285682,5.67462298334906,22.5138382687899,148.821729451294,456.075180887458,681.354805253007,185.533200025392
"108",4,-41.5168539325843,1.70043971814109,0.720770472810211,0.502548748103527,-0.422747510376309,0.518669927392249,5.57559427477501,134.297327634601,1762.62222587325,16236.6262153244,4814.6480303794,2464.17203072431
"109",3,32.9494382022472,1.20163386116965,0.994747969120169,0.95733928364052,0.789179826331939,0.46112617381715,4.62008860866985,127.831603262119,659.212055084252,2851.00938662095,38417.2790146065,13130.0030787786
"110",3,13.8988764044944,1.32192809488736,0.97418357577636,0.913741786588404,0.61304415510305,0.136610311258319,1.73835104722361,8.12975922894231,217.632021897539,1572.11984868957,16636.2777746112,1754.92756935187
"111",3,29.8932584269663,1.29545588352617,0.951554415450323,0.858850751748444,0.661080794023148,0.342720797068699,15.7839105549257,259.525759763059,1178.75614243855,2227.19851329872,10468.267284268,3689.13543452041
"112",4,-84.0898876404494,1.51457317282976,0.727664246190299,0.373388915850245,-0.00391318781678256,-0.0279943983039333,49.4703013225432,503.215397698367,3733.21961952497,5561.33374686249,11299.0160767816,1643.18961467657
"113",2,-8.2247191011236,1.41503749927884,0.847670694987823,0.815867767520283,0.352184027474442,0.155170747521768,3.79937074126092,19.4353218421007,126.333056141627,943.975850915558,2315.61779547453,509.214752745509
"114",1,14.3483146067416,1.70043971814109,0.524034493842557,0.628802704980978,-0.269581654596859,-0.761245862552203,9.13834249550504,960.99103102585,17684.7865613553,202722.649495071,77774.88578349,25350.2734717197
"115",4,11.685393258427,1.62449086490779,0.644647272886204,0.452945349801715,-0.0924892218350536,-0.161818064531998,97.180866994612,604.662676560233,9745.00391060097,17688.5953526951,16431.6703365423,3885.85526566368
"116",2,-9.32022471910112,1.50250034052918,0.776864913207866,0.725092041890719,0.0690904002739431,-0.00591571225919475,3.60302245957252,37.7673873897006,112.822953559418,1604.26546368686,3449.31102918915,463.043769440741
"117",2,-2.16292134831461,1.12553088208386,0.884407707294269,0.890333507202549,0.546868808948361,0.150040766570091,2.44594717380252,55.013021591885,258.818364790216,2537.11005555928,13751.6850805421,1910.23884339491
"118",2,18.4550561797753,1.42884329880387,0.8223661329541,0.707264774908834,0.10472698592033,-0.116324392996447,15.1771366680663,192.452441230806,1051.20145469224,6332.60798848001,7630.42678130922,1510.10248841491
"119",2,-10.2247191011236,1.27301849440642,0.915101688248117,0.867721490904182,0.440026742282474,0.0021662647984885,2.44154331016445,15.3835411298227,127.042136912581,1387.21179252983,4115.45658145594,774.751475909351
"120",2,-4.78651685393258,1.05889368905357,0.897866884811071,0.897551580056513,0.573050940440563,0.210588497804473,2.98021295141773,44.2112799453673,162.106376776576,2191.46395660971,6778.52015972571,1566.81292452231
"121",3,33.0449438202247,1.38702312310925,0.874155853139736,0.832128867208777,0.3482846579762,-0.0861573635154551,5.78479208855616,53.4386733869216,813.447499779971,2885.48311521178,15902.6856271648,2034.84542626801
"122",3,26.3539325842697,1.36923380966572,0.950066804347285,0.877261504272518,0.649794699328046,0.327441761912951,3.68096588493713,46.8090135446219,199.941426539248,398.913495366609,3437.37406594845,734.512442074525
"123",4,9.62921348314607,1.62148837674627,0.715296272289153,0.5187153448413,-0.356309512059414,0.369890349842639,6.82431769718773,210.154651592652,2474.39704270147,17321.2609661801,10025.2253449277,2999.10467847394
"124",1,10.4775280898876,1.45066140900957,0.649459793062188,0.67265228563047,-0.133485806830927,-0.435556560516527,7.77284811444242,416.319729445346,24057.5766084004,76504.7166670968,486656.650273119,26370.0362153241
"125",2,-5.2752808988764,1.44057259138598,0.974875479064805,0.963384462037095,0.829584984155076,0.64828545603567,2.53330447014661,56.9994596066928,198.632403988474,7044.11575610611,29174.3928897016,11041.6130578303
"126",2,9.70786516853933,1.4594316186373,0.909643220899096,0.71916185082921,0.387073542676718,0.360607673230233,6.74244833979584,224.712368464497,1687.91103623364,4092.79417931343,4877.03278392751,2073.31530502127
"127",5,-1.82022471910112,1.74723392962003,0.700652181208809,0.13719915733538,-0.0633860014160566,-0.0885025608823667,63.4011217604438,864.735116030833,2318.44977025202,3150.89765484984,2253.47058839665,946.882752491589
"128",5,-23.0842696629213,1.70043971814109,0.799060719363212,0.462238421909571,0.195838776914177,-0.0752883557107396,7.61436271461429,932.474265096729,2967.27762957478,4984.40459257222,20979.7506234448,2295.82901669523
"129",2,0.567415730337079,1.32192809488736,0.949855815863812,0.919269316235232,0.78383340372899,0.630384608616874,6.53617589133475,34.0068681181606,183.651453666662,665.487974616841,4797.79833949465,1098.34853678664
"130",3,10.4213483146067,1.28950661719498,1.01642066029271,0.949335738351345,0.788876692735799,0.554624534293247,4.08609815747822,90.9037637907448,401.823198478551,1577.32159286121,14070.3479467655,6301.3186377198
"131",2,-9.47191011235955,1.73696559416621,0.963106285586783,0.928696301553627,0.691818229675249,0.578959087510556,2.49483876536154,46.4272025196322,167.155625758599,7349.10661858015,9222.77367545299,5545.83253983368
"132",1,24.3932584269663,1.42884329880387,0.64635294153494,0.223514000914261,-0.0281586014927869,-0.231709389659173,302.56270782793,50939.4760496202,883185.333776158,840713.495916991,1523711.25393197,234818.646733955
"133",3,-19.8651685393258,1.28010791919274,0.804938165863335,0.856167201597263,0.396648256154833,-0.0397617999465179,2.1593523105777,31.1283799115682,196.869163382363,1983.63226810407,12302.7465000189,1566.30940138386
"134",5,7.02808988764045,1.65711228647699,0.593117510978621,0.117756166580243,-0.215198424493969,0.182747581939478,19.0233190886137,1727.52638442012,5718.19088829054,10643.716641317,5052.48914796878,2399.57547768679
"135",3,18.5842696629213,1.32192809488736,0.955876180260412,0.893207634354521,0.575297140492121,0.042632516911786,5.26207076745224,63.3929499495109,577.579105139511,1997.26086649924,23649.6284868819,3499.65670031105
"136",1,-16.1460674157303,1.50250034052918,0.581299776679245,0.436405600487092,-0.205167628371275,-0.202363807326007,212.193313492191,33663.3600687779,286564.643719826,949169.778694963,1306160.81439507,160461.944645464
"137",2,-20.7808988764045,1.32192809488736,0.916999385251916,0.866419073693301,0.487301084423607,0.234319326293779,13.651591952637,1299.12749641993,17665.5888954234,95050.1949042684,295422.976387734,99302.4206500349
"138",3,-13.752808988764,1.43295940727611,0.849392205659868,0.806542228350114,0.325807910478272,0.00106657172986652,4.27249064268755,49.1478341196089,507.301280222014,1991.62892633623,7147.14893469032,1155.00069827969
